StudentComments,sent_pretrained,target
quite good,pos,pos
he is very rude with her student. none of the student like her behave. he thinks he is a don. he think he is the boss for the student. he takes 5 quiz which gives student extra pressure. worst faculty. teaching quality is worst ever.,neg,neg
good,pos,pos
he is a good teacher,pos,pos
she is not very impressive!,neg,neg
best teacher in toc course. smart and excellent skills.,pos,pos
it's been a great semester,pos,pos
he is good,pos,pos
good teacher.,pos,pos
he is a good teacher,pos,pos
good,pos,pos
excellent,pos,pos
good,pos,pos
good,pos,pos
very good teacher,pos,pos
he is a good teacher,pos,pos
good,pos,pos
no teacher is comparabll to him,neu,neu
good,pos,pos
no comments.,neu,neu
she is very good,pos,pos
excillent !,neu,neu
she is very good teacher.,pos,pos
good faculty.good teaching skills but too much hot tempered,pos,pos
good,pos,pos
he is well .,pos,pos
good,pos,pos
well,neu,neu
good,pos,pos
good,pos,pos
he is a very good,pos,pos
good,pos,pos
hard teacher,neu,neu
he teaches us very frequently.as usual he is a good teacher,pos,pos
he is a good teacher,pos,pos
good. :),pos,pos
ok,neu,neu
not hav efficiency in subject to satisfy students,neu,neu
a great human being with a great heart.,pos,pos
nice,pos,pos
good,pos,pos
very helpful & friendly person,pos,pos
good,pos,pos
"i have never felt bored in neaz sir's classes so far. he is like a big book to me. whatever he explains us in the class, have become an knowledge for me, which i am able to link in my learning pattern. most of all, i like his abundant experience, but yet so humble and pleasant. similarly, as a focal person for mph, i expect some extra training/workshop events and field level diagnosis initiatives. also, if possible and feasible, some extra classes in weekdays (though occasionally) will be much appreciated.",pos,pos
good,pos,pos
a good teacher,pos,pos
good,pos,pos
best,pos,pos
nice,pos,pos
he is good teacher .,pos,pos
good,pos,pos
he is good,pos,pos
good,pos,pos
good teacher,pos,pos
amazing faculty!,pos,pos
he is a good teacher,pos,pos
amaizing teacher,neu,neu
good,pos,pos
he is a good teacher.,pos,pos
good,pos,pos
try to find out logically and analyze the behind study.,neu,neu
good,pos,pos
a good teacher,pos,pos
good,pos,pos
very good and friendly person .,pos,pos
mam is on of the best faculty,pos,pos
bad,neg,neg
good,pos,pos
good,pos,pos
good faculty,pos,pos
good faculty,pos,pos
he is a good teacher.,pos,pos
she teaches us easy way.,neu,neu
good,pos,pos
mam is a good teacher.,pos,pos
good,pos,pos
a good teacher,pos,pos
mam often finds new and innovative solutions to a problem. and mam always gives us many examples that are help's us so much.,pos,pos
his teaching style is extremly perfect,pos,pos
good,pos,pos
very good,pos,pos
sir is a good person.,pos,pos
good,pos,pos
thank you sir.,pos,pos
not good,neg,neg
average teacher.,neg,neg
he is very good teacher,pos,pos
awesome,pos,pos
he is best and helped us more,pos,pos
very good,pos,pos
good,pos,pos
no no no no no no,neg,neg
very good teacher,pos,pos
good,pos,pos
good,pos,pos
good,pos,pos
good teacher,pos,pos
thank you,pos,pos
he is a good teacher,pos,pos
good teacher,pos,pos
kamrul sir is good in all the factors mentioned above.,pos,pos
he is very efficient.,pos,pos
she is a good teacher,pos,pos
he explained the math very well and was able to explain in more than one way if we didn’t understand right away. he made class very interesting.,pos,pos
he gs very good teacher and friendly with students.,pos,pos
"dear sir, i have changed my department in this semester only for this madam. i do not want to say any thing",neg,neg
good,pos,pos
you helped me see that i can be more.,pos,pos
na,neu,neu
good,pos,pos
good teacher,pos,pos
undoubtedly one of the best mentors i have ever seen,pos,pos
excellent,pos,pos
best of the best,pos,pos
she is a very good teacher,pos,pos
good,pos,pos
extra ordinary and very friendly and interesting,pos,pos
very helpful and a good sir obviously. was always available when i needed him. thank you,pos,pos
good faculty,pos,pos
not bad,neu,neu
cutie faculty,pos,pos
good,pos,pos
he's good teacher,pos,pos
good teacher,pos,pos
so so.,neu,neu
awesome,pos,pos
caring,neu,neu
good,pos,pos
good,pos,pos
good,pos,pos
he is the best teacher in aiub.,pos,pos
very good.,pos,pos
very good teacher,pos,pos
very good,pos,pos
one of the best teacher,pos,pos
well teaching tecnic,neu,neu
none,neu,neu
she is really god at teaching.,pos,pos
he does not motivate the students properly. i think he learns better but does not know how to guide the students.,neg,neg
good,pos,pos
a good faculty,pos,pos
he is a excellent faculty,pos,pos
excellent,pos,pos
okay,neu,neu
good,pos,pos
nice,pos,pos
she is good.,pos,pos
great sir,pos,pos
j,neu,neu
over all good,pos,pos
excellent,pos,pos
he is very good teacher,pos,pos
he is agood teacher,pos,pos
good,pos,pos
he is a good teacher,pos,pos
good,pos,pos
he is a good teacher.,pos,pos
she is a good faculty.,pos,pos
excellent teacher,pos,pos
teaching skill is best,pos,pos
good,pos,pos
have vast knowledge over his subject. also smart and very confident to his lecture.,pos,pos
nice,pos,pos
good,pos,pos
good teacher,pos,pos
i agree,neu,neu
"she lately come into the class,she cant give a understandable lecture for the students.",neg,neg
good,pos,pos
good teacher,pos,pos
great teacher,pos,pos
good,pos,pos
good,pos,pos
he is good in teaching n a pleasant personality,pos,pos
good,pos,pos
he is a good and nice teacher,pos,pos
"initially the classes were well conducted further into classes due to network issues and connectivity problems many miscommunications have occurred. the lesson is taught with well spoken english but i have to say not everything he tells are properly comprehended by the students. i wish sir would teach us how to write and conduct a paper before giving us a paper to write. also he sometimes gets a little frustrated if a students asks a question that was answered before, he needs to understand not everyones network works 24x7 properly. i say this respectfully that he needs to be more understanding and be easy on the students",neg,neg
good,pos,pos
great,pos,pos
good,pos,pos
i think mam is the best faculty on electronic device. mam teaches very well.,pos,pos
"please try to explain the fundamental concepts clearly and multiple times to ensure that everyone understands them. during the midterm project, i've noticed three of my group mates has no idea about the basic topics. that's why they struggled a lot in the project and started finding random projects on the internet to copy.",neg,neg
not so bad,neu,neu
recommended,pos,pos
best,pos,pos
he should be updated his theory,neu,neu
very good,pos,pos
she is a good teacher,pos,pos
he is a ____________! :s,neg,neg
good,pos,pos
thank you,pos,pos
he is good but not very suitable as a finance major teacher.,neg,neg
good,pos,pos
great,pos,pos
she is a good teacher.,pos,pos
very good and knowledgeable faculty.,pos,pos
he is a good teacher.,pos,pos
he is a good teacher,pos,pos
this type of teacher all we need.,pos,pos
good sir,pos,pos
he is a good teacher.,pos,pos
he is not a good faculty,neg,neg
a great teacher.,pos,pos
best,pos,pos
superb teacher,pos,pos
very good teacher,pos,pos
well,neu,neu
good,pos,pos
good,pos,pos
good,pos,pos
"he is a very good teacher. his method of teaching is very interesting, that's why student never get bored.",pos,pos
good,pos,pos
she is a good teacher,pos,pos
we eagarly need this kind of teacher.,neu,neu
no comment.,neu,neu
nothing,neu,neu
nothing to say,neu,neu
best faculty ever,pos,pos
good,pos,pos
he teaches us well,pos,pos
very good teacher.,pos,pos
good instructor,pos,pos
she is a good faculty.,pos,pos
he is very good teacher,pos,pos
a,neu,neu
very good,pos,pos
"only because of her, i can proudly state that i have a good basic foundation of accounting. she is great.",pos,pos
nice,pos,pos
he is the best teacher of accounting ??,pos,pos
he is good man,pos,pos
satisfied,pos,pos
good teacher,pos,pos
good,pos,pos
a good teacher,pos,pos
"sir is good,his attitude is assume,but he is perfect for regular class,more then internet classroom.",pos,pos
good,pos,pos
very good,pos,pos
"he is good , but most of the students face problem to understand his lectures. not so clear. behaviour is ok, but not friendly. has a professional attitude.",neu,neu
very good,pos,pos
very good,pos,pos
good,pos,pos
good,pos,pos
good,pos,pos
he is a good teacher .,pos,pos
good,pos,pos
good,pos,pos
good,pos,pos
good,pos,pos
good,pos,pos
he is very well teacher and friendly,pos,pos
very nice,pos,pos
helps us to do the the work properly,neu,neu
she is good but we deserve better i think.,pos,pos
sir really very good faculty,pos,pos
she is an excellent teacher.,pos,pos
he is a good teacher,pos,pos
he is a nice faculty as well as a nice person.,pos,pos
good,pos,pos
not bad,neu,neu
he is the best faculty i have ever seen.,pos,pos
very good and help full,pos,pos
very efficient & skillful,pos,pos
awesome,pos,pos
great faculty,pos,pos
good,pos,pos
na,neu,neu
sir is best,pos,pos
over all good.,pos,pos
he is good,pos,pos
wonderful faculty,pos,pos
he has a vast knowledge about the subject that helps to understand the topics better. one of the best teachers aiub have.,pos,pos
good,pos,pos
good teacher. best one,pos,pos
best faculty in aiub,pos,pos
good,pos,pos
good,pos,pos
good,pos,pos
"should be more matured to deal with the students of emba ,must show due respect to the senior student(aged)",neu,neu
nice faculty,pos,pos
maa sha allah,pos,pos
good,pos,pos
she is not a good teacher,neg,neg
he is good,pos,pos
good,pos,pos
thank you,pos,pos
good faculty,pos,pos
"he didnot give example that is related to real life but, operations management requires example of real life for betterment of students.so, he should have taken a training from dr.motiur rahman for real life example.",neu,neu
good teacher,pos,pos
all activities are ok,pos,pos
good and fair,pos,pos
good,pos,pos
he is a great teacher,pos,pos
good,pos,pos
tanseer ali sir is good lecturer. i like his teaching style.,pos,pos
moderate,neu,neu
excellent,pos,pos
very good,pos,pos
intelligent faculty,neu,neu
good teacher,pos,pos
much confident,pos,pos
she is good,pos,pos
he is an excellent teacher,pos,pos
he is best,pos,pos
very good,pos,pos
good,pos,pos
good,pos,pos
best,pos,pos
gd teacher,neu,neu
good teacher,pos,pos
i enjoy this class so much.,pos,pos
good,pos,pos
good,pos,pos
i like mams teaching technique and dedications. mam is one of my favorite faculty.,pos,pos
nice,pos,pos
good,pos,pos
good,pos,pos
punctual and polite,pos,pos
good,pos,pos
he is an excellent teacher,pos,pos
sir is good,pos,pos
very good teacher,pos,pos
good,pos,pos
she is very careful and helpful teacher we are proud of her,pos,pos
good,pos,pos
best,pos,pos
good,pos,pos
good,pos,pos
very good teacher.,pos,pos
best,pos,pos
very good,pos,pos
he is an ideal teacher.,pos,pos
worst,neg,neg
sir makes lesson easy,pos,pos
good,pos,pos
great human,pos,pos
excellent faculty as i have seen,pos,pos
good,pos,pos
he is kindful person and helpful. his skill and knowledge level is very high and he is very friendly.,pos,pos
very nice,pos,pos
good,pos,pos
good teaching skills,pos,pos
good,pos,pos
very very good,pos,pos
good,pos,pos
good,pos,pos
"sir don,t take qz before mid and he don,t get good marks .",neg,neg
good,pos,pos
mam is not puntual.she never start her lab class at adjectly time,neg,neg
he has strong personality. and he is also sincere .,pos,pos
agreed,neu,neu
agree,neu,neu
he is obviously a good teacher,pos,pos
nice faculty,pos,pos
overall good.,pos,pos
she is a good teacher.,pos,pos
good,pos,pos
her teaching style is very good. she can make students understand her lecture very nicely.,pos,pos
very understanding as a teacher. we enjoy her class alot.,pos,pos
hi is better,pos,pos
well,neu,neu
he is very good. he teaches us very well. he makes us to understand everything easily.,pos,pos
excellent she is.,pos,pos
he is a good teacher,pos,pos
he is a good teacher.,pos,pos
he is a good teacher.,pos,pos
good faculty,pos,pos
everythingis ok,pos,pos
"she is the best faculty i had ever seen in my life. she is good at study ,her behavior . she is the best.",pos,pos
if i will be a teacher i will try to follow him.,neu,neu
a good teacher,pos,pos
he is very good teacher,pos,pos
best best,pos,pos
good,pos,pos
y,pos,pos
he is good.,pos,pos
good faculty,pos,pos
good,pos,pos
very good.,pos,pos
good teacher,pos,pos
it's okay,pos,pos
no comment!,neu,neu
good,pos,pos
punctual,neu,neu
he is a good teacher,pos,pos
he is a good teacher,pos,pos
she is excellent.,pos,pos
good teacher,pos,pos
he has good professionalism on his teaching method which encourage the students to learn more.,pos,pos
he is a good teacher,pos,pos
"i think he is too old to teaching. i am not disrespect him but i think he should retired, because his online class voice is not clear.",neg,neg
good,pos,pos
good teacher,pos,pos
good,pos,pos
good,pos,pos
she is very friendly teacher,pos,pos
he is a best teacher,pos,pos
"sir are very friendly,helpful & also a good teacher.",pos,pos
good,pos,pos
good,pos,pos
well,neu,neu
he is a good teacher also like our guardian. i really appreciate his teaching method.,pos,pos
good teacher,pos,pos
he is a good teacher for us.,pos,pos
good,pos,pos
she is ok,pos,pos
nice,pos,pos
good,pos,pos
she is perfect as a teacher.,pos,pos
very good,pos,pos
he is good. i've learnt a lot of things from him,pos,pos
good teacher,pos,pos
good,pos,pos
i highly admire his teaching style and his ability to make topics so easily understandable.,pos,pos
"he's the least competent teacher i've had in my entire student life. i wonder how he even got to be a faculty of this institution. he's extremely insincere and barely teaches anything productive in the class. we didn't even know about the marks distribution of the course until the marks were published. he never discussed them in the class. most importantly he doesn't know a thing about the subject, he's assigned to teach. this course is a absolute waste of my time and money. didn't learn anything at all in this course.",neg,neg
good,pos,pos
need to improve interaction with students.,neu,neu
i am satiesfied.,neg,neg
best,pos,pos
he teaches really well,pos,pos
he is a good person,pos,pos
good,pos,pos
over all he is good but a little bit angry,pos,pos
he is a very good teacher,pos,pos
teaching method is very good.,pos,pos
good teacher,pos,pos
he is good .,pos,pos
ok,neu,neu
good,pos,pos
our respective faculty mr.adnan hossain is a good lecturer.,pos,pos
teaching ability is not good for student.,neg,neg
he is very cool man.sir is the best faculty.,pos,pos
honorable faculty,pos,pos
sir is the best faculty in aiub.,pos,pos
he is good teacher.,pos,pos
good,pos,pos
best teacher .,pos,pos
the best faculty of this semester for me.,pos,pos
he is a idle teacher in aiub. his attitude are very charmful. teaching system is perfectable.,pos,pos
one of the best faculty in cs department,pos,pos
he is a very good teacher.,pos,pos
medium,neu,neu
nice teacher,pos,pos
good,pos,pos
he is a good teacher,pos,pos
aiub is not coaching center.,neu,neu
i don't have this subject.why i m seeing this?,neg,neg
best faculty,pos,pos
goood sir,pos,pos
she is quite good in this field.,pos,pos
he is one of the best teacher of aiub,pos,pos
good,pos,pos
good,pos,pos
i feel proud of our faculty.,pos,pos
sir is very good,pos,pos
good,pos,pos
everything is good .,pos,pos
he is a good teacher.,pos,pos
he is a good teacher.,pos,pos
loan from bank a loan from bank a+ l+,neu,neu
. . . .,neu,neu
better,pos,pos
he is a good.,pos,pos
great faculty,pos,pos
madam is good overall.,pos,pos
good,pos,pos
very calm and friendly attitude,pos,pos
he is good,pos,pos
excellent,pos,pos
good,pos,pos
very nice faculty,pos,pos
no cmm,neu,neu
he is helpful and friendly with us.she always try to give us encourage and helps us al time with patiently.,pos,pos
good,pos,pos
good,pos,pos
he is a nice person,pos,pos
strongly agree,pos,pos
he is a really good teacher,pos,pos
good,pos,pos
madam teaches good,pos,pos
he is a good teacher!!!!!!!!!!!!!!!!!,pos,pos
not bad,neu,neu
good,pos,pos
good,pos,pos
good faculty,pos,pos
great faculty,pos,pos
good,pos,pos
he communicates with students very well . always gives example which is related to our daily life and it helps students to understand the topic easily.,pos,pos
good,pos,pos
he is try to help the student.,neu,neu
he is a good teacher,pos,pos
good sir,pos,pos
good,pos,pos
very good teacher and very friendly,pos,pos
good,pos,pos
gives a lot of practical knowledge,pos,pos
good,pos,pos
khub valo,neu,neu
he is not bad but try to teach in his best way.,neu,neu
she is too good,pos,pos
best faculty for physics,pos,pos
i agree with all terms.,pos,pos
good,pos,pos
he is a good teacher,pos,pos
good,pos,pos
nice teacher,pos,pos
she is a very well teacher,pos,pos
she is a good person.,pos,pos
great,pos,pos
good,pos,pos
so polite and good,pos,pos
good teacher,pos,pos
nice,pos,pos
he is a good teacher,pos,pos
well,neu,neu
good,pos,pos
best faculty so far?,neu,neu
his lecture quality is so good,pos,pos
well,neu,neu
sare is very good person but if he want to teach us to different way then this is helpful for us overall he is a very good human being and sometimes he help ask in our study.,pos,pos
sir is cool and awesome.,pos,pos
good,pos,pos
he is very sincere,pos,pos
one of the best faculty.,pos,pos
best teacher that i have ever seen,pos,pos
not bad,neu,neu
very good,pos,pos
good,pos,pos
"he is good,humble and honest person",pos,pos
well,neu,neu
"sometimes u feel inspired, motivate talking with someone he is like a person always try to give his best for student.",pos,pos
very motivating.,pos,pos
very good,pos,pos
good,pos,pos
she is a good teacher,pos,pos
moderate,neu,neu
"excillent ,active",neu,neu
he is really a good teacher. i am doing sales management under his observation. he always give enough example from his corporate life experience,pos,pos
she is average.,neg,neg
he is a good teacher.,pos,pos
innocent and good sir,pos,pos
good teacher,pos,pos
good,pos,pos
very good sir,pos,pos
good,pos,pos
nice,pos,pos
not good,neg,neg
good,pos,pos
he is a good teacher.,pos,pos
worst,neg,neg
he is a good teacher.,pos,pos
sir is a good person.,pos,pos
nice,pos,pos
he is a good teacher,pos,pos
good,pos,pos
a good teacher,pos,pos
good faculty,pos,pos
she is very cool faculty and got amazing ability to teach.,pos,pos
he is a topclass teacher,pos,pos
he is good,pos,pos
nice,pos,pos
good,pos,pos
at first i evaluate that a good human being then a good teacher.,pos,pos
he is a good faculty,pos,pos
best,pos,pos
best sir.,pos,pos
in a word she is nice.,pos,pos
good,pos,pos
she is a good teacher,pos,pos
good,pos,pos
good teacher,pos,pos
he is compleatly ok.,pos,pos
good,pos,pos
he is best in teaching skill,pos,pos
great,pos,pos
good teacher,pos,pos
she is good.,pos,pos
"madam has lots of knowledge . . it would be very helpful if ma'am will discuss a topic more briefly in the class so that students will get more ideas to use those in practical cases . . i will miss her class , she is more than a teacher to me . :)",pos,pos
good,pos,pos
she is a good teacher,pos,pos
he is good,pos,pos
he is good.,pos,pos
very co-operative and excellent faculty,pos,pos
"she should work on more examples and solution to maths, because only theory and slide is not enough for midterm and finals.",neg,neg
good,pos,pos
best,pos,pos
good,pos,pos
good,pos,pos
excellent,pos,pos
he is very good to show his performance,pos,pos
good,pos,pos
m satisfy.,neu,neu
"needs to explain more properly, visually.",neu,neu
good techer,pos,pos
he is a good teacher,pos,pos
nice,pos,pos
sir is too much cool. he is very smart and friendly minded. i like his teaching style very much. he is very experienced in his lessons. i really like him so much.,pos,pos
very good,pos,pos
very strict but wonderful faculty,pos,pos
i agree,neu,neu
better,pos,pos
good,pos,pos
good person,pos,pos
he relates our project with real life senario,neu,neu
he is a good teacher.,pos,pos
good faculty,pos,pos
good teaching,pos,pos
"she is a kind ,loving and responsible teacher and also very understanding.",pos,pos
o o o o o,neu,neu
good teacher,pos,pos
no,neu,neu
very much qualified and sincere and good teacher.,pos,pos
very good teacher,pos,pos
no,neu,neu
no comments.,neu,neu
all are good,pos,pos
excellent,pos,pos
good teacher,pos,pos
gd,neu,neu
saiful sir is helpful in lab & explain any experimant very well,pos,pos
fair but undistinguished faculty,neu,neu
good,pos,pos
good,pos,pos
ma'am is good enough. but she needs to improve her teaching quality.,neu,neu
"great personality, great man. i want to be a man like him. he is an inspiration.",pos,pos
good,pos,pos
good faculty,pos,pos
good faculty,pos,pos
she is a good teacher.,pos,pos
best,pos,pos
good teacher,pos,pos
he is a very good teacher,pos,pos
one of the best experiences with a faculty member so far. miss has always shown great patience in teaching the class and also is very precise with her approach when it comes to solving drawing related problems,pos,pos
good,pos,pos
good,pos,pos
nice teaching method,pos,pos
"siddiqua, nazifa zabeen,miss is so nice & friendly & relates subject matter to actual life experiences by providing examples, illustrations.",pos,pos
he is very good and active teacher,pos,pos
bad,neg,neg
"i can understand his every lecture property. he learn us every simple way, he is really very hark working person.",pos,pos
friendly,pos,pos
good faculty,pos,pos
good,pos,pos
"she is a new faculty. she try her best. so, good",pos,pos
he is a very good teacher.somestimes it is difficult for us to understand his opingon.,pos,pos
so much friendly,pos,pos
very good,pos,pos
very good,pos,pos
good,pos,pos
he is a good teacher,pos,pos
nice,pos,pos
he is very good teacher,pos,pos
good teaching excellence,pos,pos
he is a good teacher.,pos,pos
v g,neu,neu
he is a good teacher. you are the most flexible teacher that i have seen.,pos,pos
"friendly, chill and helpful",pos,pos
good,pos,pos
very kind to student,pos,pos
he is good teacher.,pos,pos
he is a good teacher,pos,pos
good,pos,pos
good,pos,pos
good,pos,pos
good teacher,pos,pos
good,pos,pos
good,pos,pos
awesome,pos,pos
good,pos,pos
good teacher,pos,pos
good faculty,pos,pos
he has no ability to take programming language class. he has no self confidence. he followed only text book . he has no outknowladge . he was not maintain metual with student. he threat my section student. the student of my section were unhappy by doing his class. he destroy students confidence. he had no logic.,neg,neg
he is vastly experienced.but he should improve his teaching method.and he must be good at mutual understanding with the students.,pos,pos
he is honorable person.,pos,pos
nothing to say,neu,neu
he is a good teacher,pos,pos
he is very good person,pos,pos
i'm working under a good hand. i am so lucky.,pos,pos
not good,neg,neg
he is honest and kind hearted teacher,pos,pos
good,pos,pos
good,pos,pos
he is very good teacher,pos,pos
he is a very good teacher,pos,pos
very good,pos,pos
wonderful teacher. nice teaching system.,pos,pos
excellent faculty,pos,pos
nice person,pos,pos
he is a good teacher,pos,pos
good,pos,pos
v good,pos,pos
no comments.,neu,neu
she is best teacher,pos,pos
best,pos,pos
he is a good teacher.,pos,pos
marking system is so bad.the authority should take necessary steps about this reagard.otherwise.,neg,neg
best sir,pos,pos
should be responcible,neu,neu
good,pos,pos
bad,neg,neg
good,pos,pos
good,pos,pos
good,pos,pos
she is good,pos,pos
he is a good sir.though sumtimes he makes us confuse but its okay.,pos,pos
good,pos,pos
i think he is a good teacher,pos,pos
very good,pos,pos
he is very helpful and co-operative with any kind of educational work.,pos,pos
he is an excellent teacher. he is very dedicated and enthusiastic in his teaching. he always provides clear understanding of the subject. he is also very helpful.,pos,pos
she is the best teache.,pos,pos
he is good,pos,pos
he guides us properly.,pos,pos
good,pos,pos
good,pos,pos
friendly and well behaved,pos,pos
good,pos,pos
good,pos,pos
bad,neg,neg
nice,pos,pos
little bit strict but she is a nice person.and she care about us like a mother.,pos,pos
sir is great,pos,pos
h,neu,neu
good person & good teacher,pos,pos
very well,pos,pos
sir is helpful,pos,pos
good teacher,pos,pos
good,pos,pos
she is very nice.,pos,pos
good,pos,pos
she cant teach students properly,neg,neg
he is good teacher,pos,pos
takes viva in every lab class :/,neg,neg
good knowledge about subject,pos,pos
okay,neu,neu
not bad,neu,neu
good,pos,pos
best,pos,pos
best faculty,pos,pos
fine,neu,neu
good,pos,pos
he is good teacher.,pos,pos
excellent & experienced,pos,pos
best teacher in aiub,pos,pos
good,pos,pos
agree,neu,neu
she's a great teacher,pos,pos
ok,neu,neu
he is exellent,pos,pos
gd,neu,neu
i’m glad to have sir as my faculty,pos,pos
good,pos,pos
a very good teacher,pos,pos
he is an amazing sir. always help us by guiding us in many ways.,pos,pos
not good at all.,neg,neg
good faculty,pos,pos
no ncomments,neu,neu
he is a good teacher,pos,pos
she is not so good,neg,neg
not bad,neu,neu
good faculty,pos,pos
i am little bit confused aboit the marks distribution.,neu,neu
he could not understand our problem. not bad but also not good.,neg,neg
friendly and good faculty.,pos,pos
not well teaching skills and not friendly.,neg,neg
very good,pos,pos
good,pos,pos
he is good enough to teach us.,pos,pos
good,pos,pos
he is the master of corp.finance & well organized. we are enjoying his class well in deed. thanks & wish him all the best & success in future.,pos,pos
great faculty,pos,pos
he is very nice with us,pos,pos
sometimes older version working well,pos,pos
its a initiative idea to evaluation on education process.,neu,neu
good,pos,pos
she is a good teacher,pos,pos
very good,pos,pos
mam is a beautiful person.,pos,pos
good,pos,pos
good,pos,pos
he is the best.,pos,pos
good,pos,pos
good,pos,pos
good,pos,pos
he's alright.,pos,pos
need to be more frank,neu,neu
good,pos,pos
thank you,pos,pos
he ia a nice guy.,neu,neu
"he is a very good, helpful & kind teacher.",pos,pos
great teacher,pos,pos
she is so so.,neu,neu
up to the expectation,neu,neu
he is a good teacher.,pos,pos
nice,pos,pos
friendly. good teaching quality.,pos,pos
he is good,pos,pos
she is a very very good faculty member .,pos,pos
good,pos,pos
good,pos,pos
fine,neu,neu
"good but must be careful about some topics like she must take notes carefully in viva that which student answers how many questions and how many marks he/she should get, otherwise students have to suffer",neu,neu
a very good teacher.,pos,pos
excellent,pos,pos
he is really a genious of cpp.he is very friendly to us.,pos,pos
i thought she is a good faculty of aiub but i thought the wrong concept about her.she is too tough to understand.she gives us so many tasks but when it comes about number and grades she is too low about it.very disappointed about her.at leasy she should give us an average grade so that it can't make us trouble because she teaches us major subject.,neg,neg
best teacher for programming language,pos,pos
too good,pos,pos
excellent faculty,pos,pos
he also a good teacher .,pos,pos
very very good teaching technique,pos,pos
its good,pos,pos
she is quite well,pos,pos
very good teacher,pos,pos
very good teacher. friendly with students.,pos,pos
he is very good teacher .,pos,pos
good,pos,pos
he is a nice teacher.,pos,pos
sir is so nice and helpful.,pos,pos
miss tasnuva is a good teacher.,pos,pos
too much good personality & good behavior.too much friendly attitude .,neu,neu
very good,pos,pos
good,pos,pos
good,pos,pos
sir is good and helps student.he is a good faculty.his teaching system is also good for us.we need this types of teacher.,pos,pos
good,pos,pos
he is good in his course.,pos,pos
he is very effective teacher,pos,pos
good,pos,pos
nice teacher,pos,pos
no coments,neu,neu
is there any thing to say??? his tsf is meaningless.,neg,neg
great teacher,pos,pos
disagree,neu,neu
she is one of the best math's faculty.,pos,pos
he is a good teacher,pos,pos
good,pos,pos
good,pos,pos
he has good very knowledge in java but i think his teaching approach is not that understandable to the students.,neu,neu
good,pos,pos
good,pos,pos
no commends,neu,neu
she is good and well knowledgeable internship supervisor,pos,pos
good,pos,pos
good,pos,pos
good teacher,pos,pos
he is good,pos,pos
one of the best faculties of aiub,pos,pos
he is an excellent teacher.,pos,pos
good good very good,pos,pos
very good faculty.,pos,pos
good teacher.,pos,pos
good,pos,pos
excellent sir,pos,pos
helpful,pos,pos
good,pos,pos
best,pos,pos
he cant make us understand the topic .he just follow the solution paper and write it on the bord.we cant understand what he is trying to teach us.we learn the subject from anyone who can teach and then we give the exam,neg,neg
not good and not bad.,neu,neu
he is a good teacher,pos,pos
good,pos,pos
very good.,pos,pos
he is my favorite teacher,pos,pos
he is a very good teacher.,pos,pos
she is good.,pos,pos
good,pos,pos
he is really helpful with the students,pos,pos
this system is very good,pos,pos
best,pos,pos
he is a nice teacher and i would like to take another course under him,pos,pos
good,pos,pos
he is a good teacher.,pos,pos
good,pos,pos
good,pos,pos
good,pos,pos
is a wonderful teacher,pos,pos
good faculty,pos,pos
sir is very helpful,pos,pos
no comments.,neu,neu
good,pos,pos
he is wonderful,pos,pos
okay,neu,neu
very caring,pos,pos
"he practices fairness, objectivity and rationale in taking actions for the students.",pos,pos
a very friendly teacher,pos,pos
he is a very friendly teacher.,pos,pos
very good,pos,pos
good,pos,pos
best,pos,pos
she;s good,pos,pos
he should do better.,neg,neg
good,pos,pos
she is so nice . i wish she will nice with us rest of the semester .i expect good marks in this subject .she is help full. good wishes for her.,pos,pos
best faculty in one word . sir teaching us so patiently. loving his gesture,pos,pos
best,pos,pos
not bad,neu,neu
she's good.,pos,pos
good,pos,pos
best faculty,pos,pos
he is a good faculty.,pos,pos
she is very very good,pos,pos
good,pos,pos
good,pos,pos
perfect instructor.,pos,pos
he is very good teacher,pos,pos
no,neu,neu
okey,neu,neu
sir is nice,pos,pos
excellent,pos,pos
very good,pos,pos
good,pos,pos
very good,pos,pos
nice,pos,pos
she is one of my favorite faculty. she helped me to figure out my lacing and helps us all a lot,pos,pos
good,pos,pos
he is an expert in law,pos,pos
she is very good,pos,pos
nice tutor and person,pos,pos
simply a legend,pos,pos
loved the way he thought us.we have learned so many things ??,pos,pos
she is very helpful and effective in his teaching. always willing to help and appreciated. she is always helpful in explaining confused metarial.,pos,pos
good faculty and nicely taking our classes we are pleased,pos,pos
good teacher,pos,pos
very good,pos,pos
he is very frankly and friendly. he is skilled in teaching.,pos,pos
good,pos,pos
a good teacher with a great personality,pos,pos
i enjoy attending his class. i think he is doing a great job.,pos,pos
good,pos,pos
i am very happy getting a good lecturer like him.he is very sincere.he is really good and takes great care of us.,pos,pos
teaching style is excellent.,pos,pos
she is a good teacher.,pos,pos
sir is really a nice teacher.his lecture is very understanding for me.i am tankful to that i give the faculty ????,pos,pos
medium,neu,neu
no complaints,neu,neu
he is good,pos,pos
good,pos,pos
as a teacher he is not bad.,pos,pos
best,pos,pos
good,pos,pos
sir is too much intersting,neg,neg
good teaching,pos,pos
excellent teacher for mm.,pos,pos
good,pos,pos
sir explains topics in a simple and easy to grasp method. but giving students minor homework and checking them in class would be helpful.,neu,neu
good,pos,pos
he is the best teacher in my student life.,pos,pos
good,pos,pos
he is a good teacher,pos,pos
not very gud not very bad,neg,neg
as a hole he is a nice teacher.he takes a easy way to understand every lecture.,pos,pos
good !!,pos,pos
